epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3443.37,1.85586,2.91091,1.5328,1.44614,0,0.68532,0.43956,0.47506,0.21393,0.72715,0.41005,0.44904,0.17184,1.467,2.24295,4.75309,1.1862,0,0.0016647,0.0016647,0.0016647
29,3559.84,1.86404,2.83896,1.46813,1.41926,0,0.74562,0.45055,0.49712,0.20324,0.70541,0.43956,0.48636,0.17891,1.501,2.20639,3.12959,1.17589,0,0.00164105,0.00164105,0.00164105
30,3679,1.87191,2.87016,1.48665,1.45419,0,0.66465,0.45055,0.46429,0.21163,0.61501,0.45645,0.43466,0.18111,1.43237,2.28977,3.06835,1.15651,0,0.00161678,0.00161678,0.00161678
31,3797.3,1.85257,2.81771,1.45912,1.4305,0,0.70027,0.42857,0.5005,0.1975,0.60638,0.41758,0.45088,0.1541,1.4901,2.23146,3.43551,1.15192,0,0.00159191,0.00159191,0.00159191
32,3914.82,1.81613,2.78881,1.41574,1.41474,0,0.5713,0.43956,0.4329,0.1601,0.45704,0.35165,0.31209,0.1187,1.53111,2.29371,3.1487,1.19097,0,0.00156646,0.00156646,0.00156646
33,4032.86,1.83221,2.79655,1.414,1.42328,0,0.61785,0.42643,0.4494,0.17465,0.60235,0.41758,0.42912,0.14073,1.44593,2.19243,4.02353,1.12891,0,0.00154047,0.00154047,0.00154047
34,4153.63,1.82708,2.78973,1.41499,1.42432,0,0.58343,0.47253,0.4581,0.19634,0.53139,0.42857,0.39348,0.15865,1.41764,2.21248,2.00433,1.15921,0,0.00151395,0.00151395,0.00151395
35,4270.76,1.78919,2.76522,1.36898,1.3965,0,0.65,0.48352,0.48156,0.19834,0.61144,0.44961,0.41736,0.13954,1.43584,2.22708,4.21681,1.15925,0,0.00148694,0.00148694,0.00148694
36,4389.21,1.77311,2.72658,1.39849,1.41158,0,0.66289,0.50549,0.543,0.21425,0.63765,0.48345,0.50142,0.19651,1.4554,2.30323,3.905,1.17999,0,0.00145945,0.00145945,0.00145945
37,4509.67,1.7969,2.72738,1.3588,1.41792,0,0.70121,0.43844,0.47638,0.2153,0.66572,0.41758,0.44564,0.17659,1.44589,2.21741,2.94436,1.15847,0,0.00143152,0.00143152,0.00143152
38,4624.55,1.7435,2.71227,1.32627,1.37736,0,0.64754,0.48352,0.50326,0.21185,0.61813,0.45055,0.46759,0.18892,1.46963,2.21084,2.75876,1.16146,0,0.00140318,0.00140318,0.00140318
39,4739.08,1.73037,2.65716,1.29516,1.35819,0,0.72676,0.48352,0.53572,0.22804,0.69372,0.46154,0.48697,0.18121,1.41967,2.23146,3.7649,1.14024,0,0.00137444,0.00137444,0.00137444
40,4853.94,1.69736,2.60477,1.24545,1.34207,0,0.66185,0.58242,0.57375,0.22608,0.62691,0.54945,0.50707,0.18448,1.43918,2.26947,2.57862,1.14267,0,0.00134535,0.00134535,0.00134535
41,4968.74,1.70704,2.61517,1.25273,1.35775,0,0.76936,0.48352,0.51957,0.2133,0.63598,0.46154,0.48015,0.17055,1.43819,2.24475,4.05257,1.13842,0,0.00131593,0.00131593,0.00131593
42,5083.93,1.68275,2.56654,1.22539,1.33879,0,0.68759,0.48371,0.54001,0.22707,0.64211,0.48352,0.49741,0.18018,1.45448,2.2518,2.82294,1.18152,0,0.0012862,0.0012862,0.0012862
43,5201.04,1.65507,2.53451,1.21312,1.32933,0,0.63021,0.47253,0.45319,0.19032,0.64331,0.48352,0.46166,0.16785,1.45457,2.24764,3.28141,1.19035,0,0.0012562,0.0012562,0.0012562
44,5320.36,1.69966,2.55798,1.20549,1.34152,0,0.65537,0.50549,0.53172,0.21671,0.63283,0.49451,0.49704,0.19153,1.47287,2.23854,3.16895,1.18534,0,0.00122596,0.00122596,0.00122596
45,5438.17,1.64817,2.56041,1.17787,1.30884,0,0.72629,0.42857,0.50319,0.20924,0.70974,0.42994,0.48355,0.1739,1.48083,2.34283,3.31728,1.22071,0,0.00119551,0.00119551,0.00119551
46,5552.33,1.63894,2.51451,1.15051,1.3192,0,0.52845,0.52956,0.50433,0.1981,0.51096,0.50549,0.46672,0.15938,1.52492,2.29052,2.39838,1.1869,0,0.00116487,0.00116487,0.00116487
47,5671.67,1.62836,2.51141,1.14811,1.32803,0,0.59408,0.49451,0.49694,0.21882,0.58088,0.48352,0.46748,0.16889,1.38396,2.28912,4.10647,1.13044,0,0.00113408,0.00113408,0.00113408
48,5785.51,1.59933,2.4406,1.09985,1.29852,0,0.63398,0.4949,0.53109,0.20903,0.5931,0.45055,0.47606,0.17118,1.47704,2.29994,4.23309,1.18315,0,0.00110317,0.00110317,0.00110317
49,5904.78,1.5943,2.42062,1.10355,1.29102,0,0.58578,0.55945,0.5012,0.20954,0.56095,0.53356,0.47301,0.18477,1.43922,2.20166,3.27729,1.17948,0,0.00107216,0.00107216,0.00107216
50,6018.99,1.58533,2.43888,1.10374,1.2863,0,0.68125,0.40659,0.48074,0.19599,0.48378,0.49451,0.43228,0.15752,1.49893,2.37774,3.56567,1.22247,0,0.0010411,0.0010411,0.0010411
51,6135.72,1.553,2.41512,1.06986,1.2626,0,0.67846,0.47253,0.51511,0.21193,0.59739,0.47253,0.47381,0.1694,1.49092,2.2673,3.69747,1.17629,0,0.00101,0.00101,0.00101
